week_day,date,temp_low1,time1,temp_high1,temp_low2,time2,temp_high2,temp_low3,time3,temp_high3,temp_low4,time4,temp_high4
Tue, May 7,57,12am,61,61,6am,81,82,12pm,82,66,6pm,81
Wed, May 8,64,12am,70,70,6am,84,82,12pm,86,75,6pm,82
Thu, May 9,72,12am,73,72,6am,79,66,12pm,73,66,6pm,66
Fri, May 10,61,12am,64,63,6am,73,75,12pm,79,70,6pm,73
Sat, May 11,68,12am,72,70,6am,75,70,12pm,81,68,6pm,72
Sun, May 12,66,12am,68,66,6am,68,66,12pm,75,66,6pm,73
Mon, May 13,57,12am,64,59,6am,72,73,12pm,75,55,6pm,72
Tue, May 14,52,12am,55,54,6am,68,72,12pm,73,55,6pm,70
Wed, May 15,52,12am,55,55,6am,75,75,12pm,77,70,6pm,75
Thu, May 16,70,12am,72,70,6am,84,70,12pm,88,70,6pm,72
Fri, May 17,66,12am,68,68,6am,82,75,12pm,88,70,6pm,79
Sat, May 18,66,12am,70,70,6am,84,84,12pm,88,75,6pm,82
Sun, May 19,70,12am,73,70,6am,84,82,12pm,86,73,6pm,81
Mon, May 20,66,12am,72,70,6am,81,79,12pm,84,72,6pm,82
Tue, May 21,70,12am,72,73,6am,86,88,12pm,90,77,6pm,86
Wed, May 22,70,12am,75,72,6am,84,88,12pm,90,72,6pm,84
Thu, May 23,66,12am,72,72,6am,88,88,12pm,91,73,6pm,86
Fri, May 24,70,12am,73,75,6am,88,88,12pm,91,75,6pm,90
Sat, May 25,68,12am,72,73,6am,88,90,12pm,93,73,6pm,90
Sun, May 26,68,12am,72,73,6am,91,91,12pm,93,75,6pm,90
Mon, May 27,70,12am,73,75,6am,91,90,12pm,93,81,6pm,90
Tue, May 28,73,12am,81,75,6am,88,90,12pm,93,75,6pm,90
Wed, May 29,73,12am,81,75,6am,90,90,12pm,91,73,6pm,88
Thu, May 30,72,12am,75,75,6am,88,86,12pm,90,79,6pm,84
Fri, May 31,72,12am,77,73,6am,84,86,12pm,90,70,6pm,84
Sat, Jun 1,64,12am,70,72,6am,84,86,12pm,90,70,6pm,84
Sun, Jun 2,64,12am,66,70,6am,88,90,12pm,91,72,6pm,88
Mon, Jun 3,66,12am,72,72,6am,88,88,12pm,91,75,6pm,84
Tue, Jun 4,72,12am,73,73,6am,84,88,12pm,91,79,6pm,84
Wed, Jun 5,75,12am,79,77,6am,84,84,12pm,86,73,6pm,82
Thu, Jun 6,70,12am,73,70,6am,73,72,12pm,75,73,6pm,75
Fri, Jun 7,73,12am,75,73,6am,84,79,12pm,84,73,6pm,82
Sat, Jun 8,72,12am,73,73,6am,79,75,12pm,81,73,6pm,75
Sun, Jun 9,72,12am,73,73,6am,82,75,12pm,86,73,6pm,75
Mon, Jun 10,72,12am,72,72,6am,88,75,12pm,88,72,6pm,82
Tue, Jun 11,63,12am,70,64,6am,79,79,12pm,81,66,6pm,77
Wed, Jun 12,66,12am,70,70,6am,81,77,12pm,82,70,6pm,79
Thu, Jun 13,61,12am,68,64,6am,79,79,12pm,82,63,6pm,79
Fri, Jun 14,57,12am,64,66,6am,79,81,12pm,82,72,6pm,81
Sat, Jun 15,68,12am,72,72,6am,84,86,12pm,88,79,6pm,84
Sun, Jun 16,73,12am,79,75,6am,86,88,12pm,93,77,6pm,84
Mon, Jun 17,72,12am,79,73,6am,86,88,12pm,90,73,6pm,88
Tue, Jun 18,73,12am,73,73,6am,81,73,12pm,81,73,6pm,75
Wed, Jun 19,72,12am,73,73,6am,86,88,12pm,90,81,6pm,88
Thu, Jun 20,72,12am,81,72,6am,82,84,12pm,90,75,6pm,86
Fri, Jun 21,72,12am,73,75,6am,90,91,12pm,93,82,6pm,91
